Data,Abertura,Valor Máximo,Valor Mínimo,Fechamento,Volume,Retorno diário,Faixa de preço,Variação de preço
2005-10-10,1.5523358846651505,1.5568353445525571,1.5079493290276966,1.5106490850448608,507505600,-1.8128706353589648,0.0488860155248604,-0.0416867996202896
2005-10-11,1.536441606113402,1.555635716616628,1.5115488655289888,1.5472382307052612,1225884800,2.4220810790954728,0.0440868510876391,0.0107966245918591
2005-10-12,1.4590640896208331,1.5085497386479918,1.4356712431988556,1.4770591259002686,2697486400,-4.535765948143855,0.0728784954491361,0.0179950362794354
2005-10-13,1.4827570694410916,1.6180170756644496,1.4776588755090645,1.611719012260437,1865575600,9.11675666863323,0.1403582001553851,0.1289619428193453
2005-10-14,1.6204161482260473,1.6300128005836982,1.5832270056029567,1.619515895843506,1035552000,0.4837619661837822,0.0467857949807415,-0.0009002523825412
2005-10-17,1.6189166504325607,1.6264147840907202,1.5799286978886715,1.6027212142944336,616834400,-1.0370186295902473,0.0464860862020486,-0.0161954361381271
2005-10-18,1.5970234160409893,1.6180171282464693,1.565532797679811,1.5658326148986816,609588000,-2.301622956428606,0.0524843305666582,-0.0311908011423076
2005-10-19,1.5616337926600974,1.6483076927643392,1.5358417048937232,1.6477080583572388,1008683200,5.228875850427661,0.112465987870616,0.0860742656971413
2005-10-20,1.6336119372379136,1.6944938456686227,1.6300128296557057,1.68369722366333,1357762000,2.1841955025681203,0.064481016012917,0.0500852864254164
2005-10-21,1.7046910538785978,1.708889896477579,1.6603044905318047,1.6693015098571775,796726000,-0.8550060903961598,0.0485854059457742,-0.0353895440214202
2005-10-24,1.657004996602882,1.703191161155701,1.6522066199629175,1.703191161155701,609753200,2.030169570829843,0.0509845411927833,0.0461861645528189
2005-10-25,1.6914951826513402,1.70499066071353,1.670201654340742,1.682497262954712,465127600,-1.2150073739783385,0.0347890063727878,-0.0089979196966283
2005-10-26,1.68789636851472,1.7262845917644547,1.677099743291941,1.7103899717330933,631593200,1.6578159972395756,0.0491848484725137,0.0224936032183733
2005-10-27,1.7091896558064343,1.7097892902664062,1.6618043184280396,1.6618043184280396,411541200,-2.84061846175484,0.0479849718383667,-0.0473853373783947
2005-10-28,1.680698430878802,1.692394404188207,1.62461489944322,1.6336119174957275,769787200,-1.696493421017231,0.0677795047449871,-0.0470865133830744
2005-10-31,1.655505656524182,1.7388801481799692,1.6420091802561567,1.727184176445007,940844800,5.727936846391435,0.0968709679238124,0.0716785199208251
2005-11-01,1.7166869208859905,1.7436788668258534,1.705589584648315,1.7244839668273926,749686000,-0.156335939990615,0.0380892821775384,0.007797045941402
2005-11-02,1.7310833138599346,1.7994624521828442,1.7274841062565016,1.797962665557861,857060400,4.26090935862109,0.0719783459263425,0.0668793516979264
2005-11-03,1.8072598625471223,1.8690410058571816,1.8015612353494384,1.8549458980560305,884382800,3.1693223441037865,0.0674797705077432,0.0476860355089081
2005-11-04,1.809959045769428,1.836651482076968,1.7880660865372493,1.8339524269104004,878035200,-1.131756520102878,0.0485853955397186,0.0239933811409727
2005-11-07,1.8249548372701765,1.8495478571575807,1.803661308307544,1.806360363960266,638831200,-1.5045135601809425,0.0458865488500368,-0.0185944733099105
2005-11-08,1.7979625944602515,1.810859437527212,1.7724702270796808,1.7964636087417605,473765600,-0.5478837676003767,0.0383892104475311,-0.001498985718491
2005-11-09,1.7994625027231343,1.8357512936704536,1.7994625027231343,1.802761793136597,552930000,0.3505879197434725,0.0362887909473192,0.0032992904134625
2005-11-10,1.8186566463686515,1.835451614592074,1.769771528396541,1.8348519802093504,665344400,1.78005697674124,0.0656800861955331,0.0161953338406988
2005-11-11,1.8456482887268064,1.8627431713413647,1.8396499438011515,1.8456482887268064,425448800,0.5884021509039883,0.0230932275402131,0.0
2005-11-14,1.845648483908352,1.858844443716736,1.826754296029773,1.842949628829956,369933200,-0.1462174517936953,0.032090147686963,-0.0026988550783955
2005-11-15,1.847448614066748,1.891835180181613,1.8432497712059144,1.8678427934646609,536841200,1.3507240917109975,0.0485854089756985,0.0203941793979127
2005-11-16,1.8939344180732147,1.9512170241429008,1.8921347139525604,1.9479185342788696,784515200,4.287070683591976,0.0590823101903403,0.0539841162056549
2005-11-17,1.9671125038538848,1.9758099052572329,1.926924587104964,1.9350223541259768,676205600,-0.6620492554462509,0.0488853181522688,-0.032090149727908
2005-11-18,1.958715319296905,1.9623145276240457,1.9305240901196388,1.936221718788147,524960800,0.0619819538318466,0.0317904375044069,-0.0224936005087579
2005-11-21,1.9440198221492333,1.955116163500672,1.911029313962969,1.94821846485138,511711200,0.6195956768185296,0.0440868495377029,0.004198642702146
2005-11-22,1.944619184263861,2.002202512671516,1.935022630235393,1.995004296302796,540282400,2.401467407043856,0.0671798824361229,0.0503851120389347
2005-11-23,2.005800391356537,2.038790689409983,2.000102764248355,2.0126988887786865,485853200,0.8869450812052371,0.0386879251616281,0.0068984974221493
2005-11-25,2.0291937491839764,2.0855761812968385,2.024394473295074,2.0795786380767822,395012800,3.32288896620192,0.0611817080017647,0.0503848888928057
2005-11-28,2.120966654543285,2.131463561616251,2.071481893323956,2.0891764163970947,1018519600,0.461525144785524,0.0599816682922949,-0.0317902381461903
2005-11-29,2.0990735200317423,2.108370356528755,2.0198967472247884,2.0423903465271,891433200,-2.239450412267241,0.0884736093039664,-0.0566831735046422
2005-11-30,2.0522877637755985,2.06488409218449,2.0249958857328743,2.0339930057525635,595674800,-0.4111525883783939,0.0398882064516157,-0.018294758023035
2005-12-01,2.0678826088586204,2.151257819390209,2.063683766505628,2.1473588943481445,812893200,5.573563344365407,0.0875740528845812,0.0794762854895241
2005-12-02,2.1674522128379894,2.18154832553927,2.120366799764363,2.1782498359680176,895762000,1.4385551339917146,0.0611815257749071,0.0107976231300281
2005-12-05,2.1578548597750684,2.1752494555940656,2.144058669483803,2.1539559364318848,583671200,-1.1152944503878048,0.0311907861102627,-0.0038989233431836
2005-12-06,2.2172371940683813,2.2442291437248625,2.199842595626755,2.2208364009857178,857029600,3.105006162039836,0.0443865480981076,0.0035992069173365
2005-12-07,2.226234578372627,2.2331330758121832,2.192945163821534,2.21783709526062,679464800,-0.1350529793084476,0.0401879119906491,-0.0083974831120068
2005-12-08,2.1953444726890026,2.224436048902976,2.177349435593589,2.221736192703247,790479200,0.1758063047533564,0.047086613309387,0.0263917200142445
2005-12-09,2.225634535071096,2.237031589127964,2.1998424561633776,2.229233741760254,555402400,0.3374635153188254,0.0371891329645865,0.0035992066891576
2005-12-12,2.2454302075377672,2.259825239676693,2.236132569218743,2.246629476547241,524994400,0.7803459305820049,0.02369267045795,0.0011992690094739
2005-12-13,2.244829350373849,2.2631241055803866,2.225635243685125,2.2487282752990723,493816400,0.0934198884925407,0.0374888618952615,0.0038989249252234
2005-12-14,2.1752504323052047,2.198343464917878,2.10747092104174,2.159655332565308,1450716400,-3.9610362760221776,0.0908725438761379,-0.0155950997398965
2005-12-15,2.179748901744488,2.1851476134016243,2.1398607013569,2.1647534370422363,561162000,0.2360610232593263,0.0452869120447241,-0.0149954647022516
2005-12-16,2.163553647216887,2.168352122689758,2.131162986769105,2.132662773132324,671171200,-1.482416581989976,0.037189135920653,-0.0308908740845628
2005-12-19,2.132663568980828,2.177349851487285,2.130564147585354,2.140761137008667,529295200,0.3797301654235863,0.0467857039019312,0.0080975680278392
2005-12-20,2.1482580933439617,2.170751689854833,2.132962912207966,2.162653923034668,479108000,1.022663652078082,0.0377887776468668,0.0143958296907062
2005-12-21,2.177348787567358,2.207640224117443,2.175549284393388,2.204340934753418,475736800,1.9275858830086976,0.0320909397240547,0.0269921471860601
2005-12-22,2.216638357654748,2.2340329623571424,2.2073407201071302,2.219936847686768,370610800,0.7075091102046072,0.0266922422500122,0.0032984900320203
2005-12-23,2.2244373923565,2.227136249127181,2.198344572809339,2.1998443603515625,229857600,-0.9050927442437072,0.0287916763178417,-0.0245930320049376
2005-12-27,2.219337215243515,2.2547266565783164,2.217837428498556,2.2262349128723145,590590000,1.1996554391027203,0.0368892280797603,0.0068976976287995
2005-12-28,2.233431914210368,2.242129311162308,2.1989418431227628,2.206439971923828,398115200,-0.8891667646585666,0.0431874680395449,-0.0269919422865396
2005-12-29,2.2127400852516543,2.213940155363093,2.1419609751638653,2.1428611278533936,490025200,-2.881512521503105,0.0719791801992277,-0.0698789573982607
2005-12-30,2.126664401301184,2.1722510188745923,2.1095695198170383,2.156055688858032,624262800,0.6157450351370164,0.0626814990575539,0.029391287556848
2006-01-03,2.170750633920365,2.241829395294189,2.166851711051683,2.241829395294189,807234400,3.9782695261265655,0.0749776842425058,0.0710787613738239
2006-01-04,2.2532266206783884,2.2787189882874235,2.2343322328737605,2.2484283447265625,619603600,0.2943555582875845,0.0443867554136629,-0.0047982759518259
2006-01-05,2.244230066563935,2.2463294880054776,2.211840194165512,2.2307345867156982,449422400,-0.7869389323597042,0.0344892938399654,-0.0134954798482369
2006-01-06,2.256825973373412,2.3003131799764,2.2358321633038187,2.288316488265991,704457600,2.5812977434967133,0.0644810166725813,0.031490514892579
2006-01-09,2.301212639021213,2.315308752439988,2.271521626497031,2.280818462371826,675040800,-0.3276655975086195,0.0437871259429569,-0.0203941766493866
2006-01-10,2.286816439639309,2.4559663697794383,2.274220315209867,2.4250752925872803,2279869200,6.324783519396848,0.1817460545695715,0.1382588529479713
2006-01-11,2.514449675830248,2.543240338504812,2.476960609594101,2.516249179840088,1493794400,3.759631197080715,0.0662797289107111,0.0017995040098397
2006-01-12,2.5483384982819275,2.591225461853801,2.507850872603341,2.527944326400757,1280809600,0.4647849129716164,0.08337458925046,-0.0203941718811706
2006-01-13,2.5489388311836243,2.579529997284244,2.537242856595185,2.566933870315552,776305600,1.5423418746847162,0.042287140689059,0.0179950391319279
2006-01-17,2.5702317012994,2.5906258735423022,2.515348247499392,2.5405406951904297,835623600,-1.028198483425602,0.0752776260429102,-0.0296910061089703
2006-01-18,2.491655718052498,2.52074709142838,2.454766295760784,2.473960399627685,1200637200,-2.6207136019820387,0.0659807956675959,-0.0176953184248129
2006-01-19,2.4367724614561728,2.449068869825927,2.3614948252488697,2.370491743087769,1695848000,-4.182308518579658,0.0875740445770572,-0.0662807183684037
2006-01-20,2.377689989056262,2.400482499631412,2.2742203358724824,2.282018184661865,1134758800,-3.7322871376324502,0.1262621637589296,-0.0956718043943971
2006-01-23,2.2823184484965933,2.386088043802056,2.27931987580228,2.3294050693511963,1059730000,2.076534052525658,0.106768167999776,0.047086620854603
2006-01-24,2.362094723595472,2.381889468340877,2.272421240418199,2.2805190086364746,1142254400,-2.098650052665074,0.1094682279226777,-0.0815757149589972
2006-01-25,2.321007218262205,2.324305908265747,2.196843653605312,2.225335597991944,1275786400,-2.419774202080649,0.1274622546604349,-0.0956716202702612
2006-01-26,2.2352327219279724,2.262224677553846,2.157256027968275,2.1692519187927246,1181387200,-2.5202346670689546,0.104968649585571,-0.0659808031352477
2006-01-27,2.187846305803181,2.2073403283799413,2.132363210662969,2.160254716873169,953864800,-0.4147605836653079,0.0749771177169722,-0.027591588930012
2006-01-30,2.1344636803407813,2.29731463904741,2.1254657570906508,2.249328851699829,1398401200,4.123316298347879,0.1718488819567594,0.1148651713590478
2006-01-31,2.2643239249107814,2.289516374853507,2.2118396041438206,2.264623641967773,913542000,0.6799712837180616,0.0776767707096861,0.0002997170569916
2006-02-01,2.2478287173473785,2.293114824297976,2.2385310816294286,2.2619240283966064,521186400,-0.1192080450427846,0.0545837426685476,0.0140953110492278
2006-02-02,2.2523269200125955,2.260124767913441,2.160853967697034,2.162353754043579,707322000,-4.402016738979908,0.0992708002164071,-0.0899731659690163
2006-02-03,2.1665534594215434,2.1830487147963376,2.1305643755645223,2.1548566818237305,692123600,-0.3467088678635099,0.0524843392318152,-0.0116967775978129
2006-02-06,2.159955732769496,2.174651284061888,2.001602358271667,2.018397331237793,1651767600,-6.332641596862354,0.173048925790221,-0.1415584015317028
2006-02-07,2.047488189765708,2.083777979884092,1.999802944662588,2.0273945331573486,1388830800,0.4457597015369741,0.083975035221504,-0.0200936566083593
2006-02-08,2.054085956858874,2.0717812762145247,1.9794087580561228,2.06368350982666,953114400,1.7899316623290362,0.0923725181584018,0.009597552967786
2006-02-09,2.072381017916788,2.0762801432644067,1.935322207128912,1.9479185342788696,1149764000,-5.609628365810526,0.1409579361354946,-0.1244624836379184
2006-02-10,1.9548161163109152,2.029494122618272,1.8864369739466027,2.018697500228882,1760477600,3.633569099757805,0.1430571486716694,0.0638813839179666
2006-02-13,1.998303036230812,2.0019022435286296,1.93862050311308,1.940719723701477,883498000,-3.862776692325798,0.0632817404155494,-0.057583312529335
